Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,15277945,0,"Saturday, January 26, 2013 22:09:24 UTC",32.9265,-116.3025,1.8,5.10,75,"Southern California"
nn,00400994,9,"Saturday, January 26, 2013 22:07:32 UTC",40.8640,-118.5557,1.8,4.50, 5,"Nevada"
ci,15277929,0,"Saturday, January 26, 2013 22:02:55 UTC",33.8917,-117.5523,1.4,10.70,11,"Greater Los Angeles area, California"
nc,71929331,1,"Saturday, January 26, 2013 22:01:24 UTC",38.0600,-118.9428,2.0,8.50,27,"Central California"
nc,71929326,0,"Saturday, January 26, 2013 21:54:11 UTC",38.7878,-122.7622,1.0,1.60,16,"Northern California"
nn,00400985,9,"Saturday, January 26, 2013 21:38:24 UTC",38.1545,-118.0212,1.5,3.40,23,"Nevada"
ak,10645479,2,"Saturday, January 26, 2013 21:19:45 UTC",51.6242,-175.9108,1.1,42.30, 9,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10645475,2,"Saturday, January 26, 2013 21:01:43 UTC",51.5409,-177.7764,1.4,47.90,11,"Andreanof Islands, Aleutian Islands, Alaska"
ci,15277913,0,"Saturday, January 26, 2013 20:38:03 UTC",33.1673,-116.4290,1.5,14.30,58,"Southern California"
ci,15277897,0,"Saturday, January 26, 2013 20:33:08 UTC",33.0172,-116.4447,1.3,11.00,37,"Southern California"
ci,15277881,0,"Saturday, January 26, 2013 20:06:02 UTC",34.2008,-117.3937,1.3,12.20,33,"Greater Los Angeles area, California"
ci,15277873,0,"Saturday, January 26, 2013 19:52:53 UTC",34.3328,-116.8852,1.4,1.00,20,"Southern California"
nc,71929286,1,"Saturday, January 26, 2013 19:23:34 UTC",38.7970,-122.7798,1.9,3.90,36,"Northern California"
nc,71929281,0,"Saturday, January 26, 2013 18:52:09 UTC",40.1442,-123.8402,1.7,22.10, 5,"Northern California"
nc,71929271,1,"Saturday, January 26, 2013 18:39:24 UTC",37.1773,-122.3432,2.7,10.30,56,"Northern California"
ci,15277849,0,"Saturday, January 26, 2013 17:56:46 UTC",33.0387,-116.4440,1.7,9.10,84,"Southern California"
nc,71929251,0,"Saturday, January 26, 2013 17:51:08 UTC",36.2718,-120.8392,1.9,6.90, 6,"Central California"
nc,71929246,3,"Saturday, January 26, 2013 17:49:43 UTC",36.2697,-120.8417,3.4,7.60,75,"Central California"
nc,71929236,0,"Saturday, January 26, 2013 17:46:13 UTC",36.7472,-121.4073,1.6,8.30,17,"Central California"
us,c000ew2h,6,"Saturday, January 26, 2013 17:31:13 UTC",5.4858,127.0480,5.0,119.70,63,"Philippine Islands region"
nc,71929201,1,"Saturday, January 26, 2013 16:59:55 UTC",36.2708,-120.8373,2.2,7.10,31,"Central California"
nc,71929191,1,"Saturday, January 26, 2013 16:52:03 UTC",38.7952,-122.8060,1.3,3.10,28,"Northern California"
us,c000evyz,8,"Saturday, January 26, 2013 16:25:05 UTC",64.3717,-130.8106,3.8,10.00,38,"Northwest Territories, Canada"
nn,00400967,9,"Saturday, January 26, 2013 15:58:40 UTC",38.9462,-118.6960,1.4,14.10,11,"Nevada"
us,c000evx5,A,"Saturday, January 26, 2013 15:41:16 UTC",39.7489,77.3028,4.8,35.30,34,"southern Xinjiang, China"
nc,71929156,0,"Saturday, January 26, 2013 15:10:53 UTC",38.8378,-122.8487,1.4,1.30,21,"Northern California"
